name, surname﻿
Ken, Liu 
Brian, Staveley   
Seth, Dickinson   
Naomi, Novik   
M.L., Wang   
Samantha, Shannon   
Jenn, Lyons   
Marlon, James   
Joe, Abercrombie   
Patrick, Rothfuss   
V.E., Schwab   
Sarah, Pinsker   
R.F., Kuang   
Django, Wexler   
Mark, Lawrence   
Helene, Wecker   
Brandon, Sanderson   
Nicholas, Eames   
Erin, Morgenstern   
David, Mitchell   
Scott, Lynch   
James, Islington   
Robert, Jackson Bennett   
Brent, Weeks   
Michael, J. Sullivan   
Brian, McClellan   
Olivie, Blake   
George, R.R. Martin   
Tamsyn, Muir   
Fonda, Lee   
TJ, Klune   
Neil, Gaiman   
China, Mi ville   
Susanna, Clarke   
N.K., Jemisin   
A.K., Larkwood   
Anthony, Ryan   
Adrian, Tchaikovsky   
Becky, Chambers   
Evan, Winter   
Graeme, Simsion   
Jojo, Moyes   
John, Green   
Helen, Hoang   
Casey, McQuiston   
Sally, Thorne   
Sonali, Dev   
Jasmine, Guillory   
Beth, O Leary   
Talia, Hibbert   
Jenny, Han   
Emily, Henry   
Diana, Gabaldon   
Colleen, Hoover   
Julia, Quinn   
Stephenie, Meyer   
Jamie, McGuire   
David, Nicholls   
Stephanie, Perkins   
Nicholas, Sparks   
Gillian, Flynn   
Paula, Hawkins   
Liane, Moriarty   
Robert, Galbraith   
Alex, Michaelides   
A.J., Finn   
Tana, French   
Teresa, Driscoll   
S.J., Watson   
Stieg, Larsson   
Michael, Connelly   
Jo, Nesb?   
Fiona, Barton   
Shari, Lapena   
Jane, Harper   
John, Hart   
Stephen, King   
Ruth, Ware   
Lucy, Foley   
Claire, Douglas   
Adrian, McKinty   
Cormac, McCarthy   
Richard K., Morgan   
Paolo, Bacigalupi   
David, Mitchell   
Liu, Cixin   
Brian, Herbert   
Kevin J., Anderson   
Neal, Stephenson   
Margaret, Atwood   
Andy, Weir   
Ernest, Cline   
Ursula K., Le Guin   
Dan, Simmons   
James S.A., Corey   
Suzanne, Collins   
Justin, Cronin   
John, Scalzi   
William, Gibson   
Adrian, Tchaikovsky   
Robert Charles, Wilson   
Alastair, Reynolds   
Emily St. John, Mandel 
